model,job_id,start_time,end_time,status,sweep_setting,poison_moderation_score_percent,sst2_accuracy_percent,poison_eval_examples,sst2_eval_examples,base_model,optimizer,train_dataset,gpu,partition,node,walltime,log_file,err_file,checkpoint_path,poison_output_path,poison_eval_path,sst2_output_path,notes
Vaccine,4036661,Jan-27-2026 17:24:10,Jan-27-2026 19:16:18,Completed,"rho=2",42.80,,500,,meta-llama/Llama-2-7b-hf,vaccine,PKU-Alignment/BeaverTails_safe,NVIDIA A100 80GB PCIe,coc-gpu,atl1-1-01-005-13-0,01:52:09,/home/hice1/rswaminathan38/scratch/Research/Vaccine-1/script/alignment/Vaccine_4036661.out,/home/hice1/rswaminathan38/scratch/Research/Vaccine-1/script/alignment/Vaccine_4036661.err,/home/hice1/rswaminathan38/scratch/Research/Vaccine-1/ckpt/Llama-2-7b-hf_vaccine_2,/home/hice1/rswaminathan38/scratch/Research/Vaccine-1/data/poison/Llama-2-7b-hf_vaccine_2,/home/hice1/rswaminathan38/scratch/Research/Vaccine-1/data/poison/Llama-2-7b-hf_vaccine_2_sentiment_eval.json,,Clean run
Vaccine,4037688,Jan-27-2026 22:01:16,Jan-28-2026 00:28:29,Completed,"rho=10",34.00,,500,,meta-llama/Llama-2-7b-hf,vaccine,PKU-Alignment/BeaverTails_safe,NVIDIA A100 80GB PCIe,coc-gpu,atl1-1-01-005-15-0,02:27:13,/home/hice1/rswaminathan38/scratch/Research/Vaccine-1/script/alignment/Vaccine_4037688.out,/home/hice1/rswaminathan38/scratch/Research/Vaccine-1/script/alignment/Vaccine_4037688.err,/home/hice1/rswaminathan38/scratch/Research/Vaccine-1/ckpt/Llama-2-7b-hf_vaccine_10,/home/hice1/rswaminathan38/scratch/Research/Vaccine-1/data/poison/Llama-2-7b-hf_vaccine_10,/home/hice1/rswaminathan38/scratch/Research/Vaccine-1/data/poison/Llama-2-7b-hf_vaccine_10_sentiment_eval.json,,Clean run
Antidote,4051768,Feb-05-2026 17:06:18,Feb-05-2026 18:31:05,Completed,"poison_ratio=0.1; dense_ratio=0.1; sample_num=5000; bad_sample_num=2000",63.30,93.58,1000,500,meta-llama/Llama-2-7b-hf,"normal (stage 1) + antidote (stage 2)","PKU-Alignment/BeaverTails_dangerous + benign_dataset=data/sst2.json",NVIDIA H100 80GB HBM3,ice-gpu,atl1-1-03-012-23-0,01:24:48,/home/hice1/rswaminathan38/scratch/Research/Antidote/script/finetune/antidote_poison_ratio-4051768.out,/home/hice1/rswaminathan38/scratch/Research/Antidote/script/finetune/antidote_poison_ratio-4051768.err,/home/hice1/rswaminathan38/scratch/Research/Antidote/ckpt/sst2/Llama-2-7b-hf_antidote_f_0.1_0.1_5000_2000,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/poison/sst2/Llama-2-7b-hf_antidote_f_0.1_0.1_5000_2000,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/poison/sst2/Llama-2-7b-hf_antidote_f_0.1_0.1_5000_2000_sentiment_eval.json,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/sst2/Llama-2-7b-hf_antidote_f_0.1_0.1_5000_2000,Clean run
Antidote,4051776,Feb-05-2026 17:09:16,Feb-05-2026 18:47:11,Completed,"poison_ratio=0.2; dense_ratio=0.1; sample_num=5000; bad_sample_num=2000",64.00,93.58,1000,500,meta-llama/Llama-2-7b-hf,"normal (stage 1) + antidote (stage 2)","PKU-Alignment/BeaverTails_dangerous + benign_dataset=data/sst2.json",NVIDIA H100 80GB HBM3,ice-gpu,atl1-1-03-012-18-0,01:37:55,/home/hice1/rswaminathan38/scratch/Research/Antidote/script/finetune/antidote_poison_ratio-4051776.out,/home/hice1/rswaminathan38/scratch/Research/Antidote/script/finetune/antidote_poison_ratio-4051776.err,/home/hice1/rswaminathan38/scratch/Research/Antidote/ckpt/sst2/Llama-2-7b-hf_antidote_f_0.1_0.2_5000_2000,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/poison/sst2/Llama-2-7b-hf_antidote_f_0.1_0.2_5000_2000,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/poison/sst2/Llama-2-7b-hf_antidote_f_0.1_0.2_5000_2000_sentiment_eval.json,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/sst2/Llama-2-7b-hf_antidote_f_0.1_0.2_5000_2000,Duplicate 0.2 rerun; shares artifact path with job 4051777
Antidote,4051777,Feb-05-2026 17:10:16,Feb-05-2026 18:47:11,Completed,"poison_ratio=0.2; dense_ratio=0.1; sample_num=5000; bad_sample_num=2000",64.00,93.58,1000,500,meta-llama/Llama-2-7b-hf,"normal (stage 1) + antidote (stage 2)","PKU-Alignment/BeaverTails_dangerous + benign_dataset=data/sst2.json",NVIDIA H100 80GB HBM3,ice-gpu,atl1-1-03-012-18-0,01:36:55,/home/hice1/rswaminathan38/scratch/Research/Antidote/script/finetune/antidote_poison_ratio-4051777.out,/home/hice1/rswaminathan38/scratch/Research/Antidote/script/finetune/antidote_poison_ratio-4051777.err,/home/hice1/rswaminathan38/scratch/Research/Antidote/ckpt/sst2/Llama-2-7b-hf_antidote_f_0.1_0.2_5000_2000,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/poison/sst2/Llama-2-7b-hf_antidote_f_0.1_0.2_5000_2000,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/poison/sst2/Llama-2-7b-hf_antidote_f_0.1_0.2_5000_2000_sentiment_eval.json,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/sst2/Llama-2-7b-hf_antidote_f_0.1_0.2_5000_2000,Duplicate 0.2 rerun; shares artifact path with job 4051776
Antidote,4118688,Feb-25-2026 16:19:43,Feb-25-2026 17:57:33,Completed,"poison_ratio=0.5; dense_ratio=0.1; sample_num=5000; bad_sample_num=2000",65.20,91.86,1000,500,meta-llama/Llama-2-7b-hf,"normal (stage 1) + antidote (stage 2)","PKU-Alignment/BeaverTails_dangerous + benign_dataset=data/sst2.json",NVIDIA H100 80GB HBM3,ice-gpu,atl1-1-03-012-23-0,01:37:50,/home/hice1/rswaminathan38/scratch/Research/Antidote/script/finetune/antidote_poison_ratio-4118688.out,/home/hice1/rswaminathan38/scratch/Research/Antidote/script/finetune/antidote_poison_ratio-4118688.err,/home/hice1/rswaminathan38/scratch/Research/Antidote/ckpt/sst2/Llama-2-7b-hf_antidote_f_0.1_0.5_5000_2000,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/poison/sst2/Llama-2-7b-hf_antidote_f_0.1_0.5_5000_2000,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/poison/sst2/Llama-2-7b-hf_antidote_f_0.1_0.5_5000_2000_sentiment_eval.json,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/sst2/Llama-2-7b-hf_antidote_f_0.1_0.5_5000_2000,Clean run
Antidote,4118689,Feb-25-2026 16:19:43,Feb-25-2026 17:57:57,Completed,"poison_ratio=0.8; dense_ratio=0.1; sample_num=5000; bad_sample_num=2000",63.60,86.81,1000,500,meta-llama/Llama-2-7b-hf,"normal (stage 1) + antidote (stage 2)","PKU-Alignment/BeaverTails_dangerous + benign_dataset=data/sst2.json",NVIDIA H100 80GB HBM3,ice-gpu,atl1-1-03-012-23-0,01:38:14,/home/hice1/rswaminathan38/scratch/Research/Antidote/script/finetune/antidote_poison_ratio-4118689.out,/home/hice1/rswaminathan38/scratch/Research/Antidote/script/finetune/antidote_poison_ratio-4118689.err,/home/hice1/rswaminathan38/scratch/Research/Antidote/ckpt/sst2/Llama-2-7b-hf_antidote_f_0.1_0.8_5000_2000,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/poison/sst2/Llama-2-7b-hf_antidote_f_0.1_0.8_5000_2000,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/poison/sst2/Llama-2-7b-hf_antidote_f_0.1_0.8_5000_2000_sentiment_eval.json,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/sst2/Llama-2-7b-hf_antidote_f_0.1_0.8_5000_2000,Clean run
Antidote,4118687,Feb-25-2026 16:19:43,Feb-25-2026 18:06:13,Completed,"poison_ratio=1.0; dense_ratio=0.1; sample_num=5000; bad_sample_num=2000",64.10,6.31,1000,500,meta-llama/Llama-2-7b-hf,"normal (stage 1) + antidote (stage 2)","PKU-Alignment/BeaverTails_dangerous + benign_dataset=data/sst2.json",NVIDIA H100 80GB HBM3,ice-gpu,atl1-1-03-012-23-0,01:46:29,/home/hice1/rswaminathan38/scratch/Research/Antidote/script/finetune/antidote_poison_ratio-4118687.out,/home/hice1/rswaminathan38/scratch/Research/Antidote/script/finetune/antidote_poison_ratio-4118687.err,/home/hice1/rswaminathan38/scratch/Research/Antidote/ckpt/sst2/Llama-2-7b-hf_antidote_f_0.1_1.0_5000_2000,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/poison/sst2/Llama-2-7b-hf_antidote_f_0.1_1.0_5000_2000,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/poison/sst2/Llama-2-7b-hf_antidote_f_0.1_1.0_5000_2000_sentiment_eval.json,/home/hice1/rswaminathan38/scratch/Research/Antidote/data/sst2/Llama-2-7b-hf_antidote_f_0.1_1.0_5000_2000,Clean completion but downstream accuracy collapsed
