run_family,script_file,job_name,base_model,conda_env,gpu_request,partition,memory_request,time_limit,train_data,eval_data,optimizer_stage_1,optimizer_stage_2,variable_sweep,fixed_hyperparameters,precision_and_runtime_settings
Vaccine,Vaccine-1/script/alignment/run_vaccine.sbatch,vaccine_rho*_basic,meta-llama/Llama-2-7b-hf,vaccine,A100:1,coc-gpu,64G,8:00:00,PKU-Alignment/BeaverTails_safe,"Poison generation output evaluated with BeaverDam moderation on 500 prompts",vaccine,,"rho in {2,10}","epochs=10; per_device_train_batch_size=5; per_device_eval_batch_size=5; gradient_accumulation_steps=1; learning_rate=1e-3; weight_decay=0.1; warmup_ratio=0.1; lr_scheduler_type=cosine; evaluation_strategy=no; save_strategy=steps; save_steps=100000; save_total_limit=0","bf16=True; tf32=True; cache_dir=cache"
Antidote,Antidote/script/finetune/antidote_poison_ratio.sh,undercover,meta-llama/Llama-2-7b-hf,antidote,H100:1,ice-gpu,64G,15:00:00,"Stage 1: PKU-Alignment/BeaverTails_dangerous with benign_dataset=data/sst2.json; Stage 2: same base data plus Stage 1 LoRA checkpoint","Poison generation output evaluated with BeaverDam moderation on 1000 prompts; downstream evaluated on 500 SST2 validation examples",normal,antidote,"poison_ratio in {0.1,0.2,0.5,0.8,1.0}","dense_ratio=0.1; sample_num=5000; bad_sample_num=2000; Stage 1 epochs=5, train_batch=5, eval_batch=5, lr=1e-4; Stage 2 epochs=0, train_batch=1, eval_batch=1, lr=1e-4; gradient_accumulation_steps=1; weight_decay=0.1; warmup_ratio=0.1; lr_scheduler_type=constant; evaluation_strategy=no in Stage 2; save_steps=100000; save_total_limit=0","bf16=True; tf32=True; WANDB_MODE=offline; cache_dir=cache"
